ControlID,RequirementID,Principle,Category,EvidenceTitle,ControlText,TypicalEvidence,Control_Function,Control_Type,AIVSS_Primary,AIVSS_Secondary,ASI_ID,ASI_Title,Bridge_Used,Confidence,Rationale,Review_Priority,Review_Checks_Failed,Review_Change_Flag,Review_Change_Notes
C012.1,C012,Safety,Third-party Evals,C012.1 Third-party evaluation report assessing customer-defined risk,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of high-risk areas at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.","Third-party evaluation report showing testing of customer-defined risk - must include documentation of assessor qualifications, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Prevent,Process,Agent Supply Chain & Dependency Risk,Agent Access Control Violation; Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,"Detected cues: eval, testing. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation, Agent Untraceability.",P1,AmbiguousTop2,,
D001.1,D001,Reliability,Technical Implementation,D001.1 Config: Groundedness filter,"- Implementing factual accuracy controls. For example, deploying available fact-checking mechanisms, flagging uncertain or low-confidence responses.","Screenshot of code or configuration showing groundedness validation - may include filters checking responses against source documents, fact-checking API integration, or logic comparing generated content to retrieved context for factual accuracy.",Prevent,Technical,Agent Cascading Failures,Agent Untraceability,ASI06,Memory & Context Poisoning,N,High,RAG/grounding techniques prevent hallucinated information from cascading through agent workflows.,OK,,,
D001.2,D001,Reliability,Technical Implementation,D001.2 Demonstration: User-facing citations & source attributions,"- Establishing information source validation. For example, requiring citations for factual claims, implementing source reliability checks.","Screenshot of UI or output format showing citations and source attributions provided to users - may include inline citations, source links, reference lists, or attribution labels identifying where information originated.",Prevent,Technical,Agent Cascading Failures,Agent Untraceability,,,N,High,"Citation requirements enable tracing of information sources, supporting cascade prevention and audit.",OK,,Y,Manual review: citations/source validation provide traceability and reduce cascade of hallucinated inputs.
D001.3,D001,Reliability,Technical Implementation,D001.3 Demonstration: User-facing uncertainty labels,"- Maintaining uncertainty communication. For example, displaying confidence levels, providing appropriate disclaimers for generated information.","Screenshot of UI or output format showing confidence levels, uncertainty disclaimers, or warnings for generated information - may include confidence score displays, low-certainty warnings, or standard disclaimers about potential inaccuracies.",Prevent,Technical,Agent Untraceability,Agent Cascading Failures,,,N,High,"Output labeling provides transparency into AI-generated content, supporting traceability. Prevention of cascading errors is secondary.",OK,LowConfidence; WeakSignals,Y,Manual review: uncertainty labels improve transparency and reduce downstream cascade risk.
D002.1,D002,Reliability,Third-party Evals,D002.1 Report: Hallucination testing results,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.","Third-party evaluation report showing hallucination testing - must include risk taxonomy tested, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Prevent,Process,Agent Cascading Failures,Agent Untraceability,ASI08,Cascading Failures,N,High,Third-party hallucination testing detects false outputs before they cascade into user decisions. Testing records support traceability.,OK,,,
D003.1,D003,Reliability,Technical Implementation,D003.1 Config: Tool authorization & validation,"- Implementing function call validation and authorization. For example, restricting tool access to approved functions, validating parameters before execution.","Screenshot of code or configuration showing function allowlists, parameter validation logic, or authz checks before tool execution - may include tool permission schemas, input validation functions, or access control lists restricting available tools per agent/user.",Prevent,Technical,Agent Access Control Violation,Agentic AI Tool Misuse,ASI03,Identity & Privilege Abuse,N,High,Detected cues: tool. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agentic AI Tool Misuse.,P1,AmbiguousTop2,,
D003.2,D003,Reliability,Technical Implementation,D003.2 Config: Rate limits for tools,- Enforcing rate limits and transaction caps for autonomous tool use.,"Screenshot of code or configuration showing rate limits and transaction caps on tool usage - may include per-tool usage quotas, time-windowed limits, or circuit breakers preventing excessive autonomous tool calls.",Prevent,Technical,Agentic AI Tool Misuse,Agent Access Control Violation,,,N,High,"Rate limits and transaction caps prevent excessive tool calls, directly addressing tool misuse. Access controls are secondary.",OK,LowConfidence; WeakSignals,,
D003.3,D003,Reliability,Technical Implementation,D003.3 Config: Tool call log,"- Establishing execution monitoring and logging. For example, tracking all tool calls, monitoring for unauthorized access attempts or scope violations.","Screenshot of logging configuration, monitoring dashboard, or audit logs showing tracked tool calls - may include tool execution logs with timestamps and parameters, alerts for unauthorized access attempts, or monitoring system flagging scope violations.",Detect,Technical,Agentic AI Tool Misuse,Agent Untraceability; Agent Access Control Violation,,,N,Medium,"Detected cues: tool, logging, audit. Mapped primarily to AIVSS core risk 'Agentic AI Tool Misuse' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability, Agent Access Control Violation.",P1,AmbiguousTop2,,
D003.4,D003,Reliability,Operational Practices,D003.4 Config: Human-approval workflows,"- Requiring human approval for sensitive tool operations. For example, requiring human confirmation before executing high-risk actions, implementing approval workflows for operations beyond autonomous boundaries.","Screenshot of approval workflow, code requiring human confirmation, or ticketing system for sensitive tool operations",Prevent,Technical,Agentic AI Tool Misuse,Agent Access Control Violation; Agent Untraceability,,,N,High,Human approval workflows for sensitive tool operations prevent misuse of high-risk capabilities. Access controls and audit trails are secondary.,OK,LowConfidence; WeakSignals,,
D003.5,D003,Reliability,Operational Practices,D003.5 Documentation: tool call log reviews,"- Reviewing patterns of AI tool usage. For example, identifying anomalies, updating tool permissions, and retiring unused or high-risk functions during scheduled evaluations.","Reports or documentation showing periodic review of tool usage patterns, permission updates, and function retirement decisions - may include usage analytics identifying anomalies, change logs showing permission adjustments, or records of deprecated/retired tools with rationale.",Detect,Process,Agentic AI Tool Misuse,Agent Access Control Violation; Agent Untraceability,ASI03,Identity & Privilege Abuse,N,Medium,"Reviewing patterns of AI tool usage identifies anomalies and informs permission updates, addressing tool misuse. Access control and audit are secondary.",OK,AmbiguousTop2; ASIAlignmentMismatch; ToolCueMismatch,Y,Manual review: tool-usage review/retiring unsafe functions is tool-misuse mitigation; secondary access control + audit.
D004.1,D004,Reliability,Third-party Evals,D004.1 Report: Tool call testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of tool calls at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.","Third-party evaluation report showing tool call testing - must include risk taxonomy tested, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Prevent,Process,Agentic AI Tool Misuse,Agent Supply Chain & Dependency Risk,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,"Pre-deployment testing of new tool integrations validates behavior, preventing tool misuse. Supply chain validation is secondary.",OK,AmbiguousTop2; ASIAlignmentMismatch,,
E001.1,E001,Accountability,Operational Practices,E001.1 Documentation: AI failure plan for security breaches,"- Assigning a breach response lead from existing staff. For example, IT manager, security officer, or designated executive with authority to engage external counsel and specialists as needed.
- Defining breach notification procedures. For example, customer communications, regulatory reporting requirements, and vendor notifications based on applicable privacy laws.
- Implementing security remediation measures. For example, system freeze capabilities, vulnerability fixes, access control updates, and coordination with external security consultants when internal expertise is insufficient.
- Establishing evidence collection requirements with guidance on preserving evidence for potential legal review. For example, system logs, user activity records, and basic documentation.",Can be standalone document or integrated in existing incident response procedures/policies,Respond,Process,Agent Untraceability,,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"AI failure plans for security breaches establish response procedures and accountability, supporting traceability and cascade prevention.",OK,AmbiguousTop2; ASIAlignmentMismatch,,
E002.1,E002,Accountability,Operational Practices,E002.1 Documentation: AI failure plan for harmful outputs,"- Implementing customer communication protocols. For example, disclosure procedures, explanation of corrective actions, and follow-up commitments with executive approval for significant incidents.
- Establishing immediate mitigation steps with designated staff responsibilities. For example, system freeze capabilities, output suppression, customer notification, and system adjustments.",Can be standalone document or integrated in existing incident response procedures/policies,Respond,Process,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"Customer communication and mitigation protocols for harmful outputs establish accountability and response procedures, supporting traceability.",OK,WeakSignals; ASIAlignmentMismatch,,
E002.2,E002,Accountability,Operational Practices,E002.2 Documentation: Additional harmful output failure procedures,"- Defining harmful output categories with reference to risk taxonomy. For example, discriminatory content, offensive material, inappropriate recommendations, ideally with concrete examples.
- Coordinating external support engagement. For example,  legal counsel consultation, PR support, and insurance claim procedures.","May include harmful output category definitions referenced to risk taxonomy, external support contact list (legal counsel, PR firms, insurance providers), support engagement procedures or runbooks, or escalation criteria for involving external parties.",Prevent,Process,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Agent Goal Hijack,N,High,Defining harmful output categories addresses consequences of goal manipulation that produces dangerous content. Traceability is secondary.,OK,WeakSignals; ASIAlignmentMismatch,,
E003.1,E003,Accountability,Operational Practices,E003.1 Documentation: AI failure plan for hallucinations,"- Establishing compensation assessment procedures. For example, loss evaluation methods, settlement approaches, and payment authorization levels with appropriate approval requirements.
- Implementing remediation measures. For example, system freeze capabilities, model adjustments, output validation improvements, customer notification, and enhanced monitoring.",Can be standalone document or integrated in existing incident response procedures/policies,Respond,Process,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI03,Identity & Privilege Abuse,N,Medium,Compensation assessment and remediation procedures for hallucinations address cascading financial harm. Traceability is secondary.,OK,AmbiguousTop2; ASIAlignmentMismatch,,
E003.2,E003,Accountability,Operational Practices,E003.2 Documentation: Additional hallucination failure procedures,"- Defining hallucination incident types. 
- Coordinating potential external support. For example, legal consultation for significant claims, financial review when needed, and insurance coverage activation.","May include hallucination incident categories (e.g. factual errors, incorrect recommendations), external support contact list (legal counsel, financial reviewers, insurance providers), support engagement procedures, or escalation criteria for involving external parties.",Detect,Process,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,Defining hallucination incident types and coordinating external support addresses cascading financial harm from false outputs. Traceability is secondary.,OK,WeakSignals; ASIAlignmentMismatch,,
E004.1,E004,Accountability,Operational Practices,E004.1 Documentation: Change approval policy and records,"- Defining AI system changes requiring approval including model selection, material changes to the meta prompt, adding / removing guardrails, changes to end-user workflow, other changes that drive material. For example, +/-10% performance on evals.
- Assigning an accountable lead as approver for each of these changes. Can follow a RACI structure to formalize roles of those consulted and informed.","Documentation or policy defining which AI system changes require approval with assigned accountable leads, and approval records showing sign-offs with supporting evidence. Can be a change management policy, overview table in e.g. Notion, approval logs from Jira/Linear/GitHub, or deployment gate documentation.",Prevent,Policy,Agent Untraceability,,,,N,High,"Detected cues: eval, change management, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
E004.2,E004,Accountability,Technical Implementation,E004.2 Config: Code signing implementation,"- Implementing code signing and verification processes for AI models, libraries, and deployment artefacts to ensure only digitally signed components are approved for production use.","Screenshot of code signing configuration, CI/CD pipeline requiring signed artifacts, or verification process for AI components - may include model signing process, signature verification in deployment pipeline, artifact registry showing signed models/libraries, or policy enforcement blocking unsigned components from production.",Prevent,Policy,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,Code signing and verification for AI components addresses supply chain integrity by ensuring only approved artifacts reach production. Traceability is secondary.,OK,AmbiguousTop2; ASIAlignmentMismatch; AltPrimaryStrongerThanUntraceability,Y,Manual review: code signing/verification is supply-chain integrity; audit/traceability secondary.
E005.1,E005,Accountability,Operational Practices,E005.1 Documentation: Deployment decisions,"- Conducting deployment risk assessments. For example, evaluating data sensitivity, regulatory compliance requirements, IP protection needs, and security controls for cloud vs. on-premises AI processing.
- Documenting decision criteria and rationale. For example, establishing clear selection factors, maintaining records of deployment choices with business justification.
- Reviewing deployment decisions when requirements change. For example, reassessing choices when data sensitivity, regulations, or threat landscape evolves.","Risk assessment and decision record evaluating cloud vs. on-premises factors (e.g. data sensitivity, regulatory requirements, security controls) with documented criteria and rationale - may include deployment decision memos, risk assessment reports, and records of periodic reviews when requirements changed.",Detect,Process,Agent Untraceability,,,,N,Medium,Detected cues: eval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
E006.1,E006,Accountability,Operational Practices,E006.1 Documentation: Vendor due diligence,"- Defining assessment criteria for foundational or upstream AI models. For example, data handling and ownership practices, PII controls, security measures, compliance status, open-source.
- Conducting documented assessments. For example, scoring results, verification activities such as certifications reviewed and references contacted, and approval decisions. 
- Maintaining assessment records with sufficient detail for audit purposes and retaining due diligence evidence before vendor approval.","Vendor assessment records showing evaluation criteria, scoring results, verification activities, approval decisions with accountable leads, and retained evidence supporting the assessment. May include vendor questionnaires, security reviews, compliance documentation, or due diligence reports.",Detect,Process,Agent Untraceability,,,,N,High,"Detected cues: audit, rce, eval, approval, pii. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
E007.1,E007,Accountability,,E007.1 Retired,- Documenting formal review and approval decisions for changes defined in E004: Assign accountability.,"This requirement was merged into E004 at the Q1, 2026 standard update. See aiuc-1.com/changelog for more information",Detect,Process,Agent Untraceability,,,,N,Medium,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
E008.1,E008,Accountability,Operational Practices,E008.1 Documentation: Internal review,"- Reviewing decision processes every quarter including AI system changes, foundational model selection, security assessment.
- Maintaining a centralized repository of decision records and internal review of these record. For example, supporting evidence reviewed, remediation plans.
- Documenting and tracking remediation of any risks identified.int","Centralized repository, policy, or tickets showing quarterly internal reviews - e.g. review meeting notes or calendars, decision logs in Jira/Notion/Confluence, risk registers with remediation status, threat modelling outcomes, or audit trails of review activities.",Detect,Policy,Agent Untraceability,,,,N,High,"Detected cues: audit, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
E008.2,E008,Accountability,Operational Practices,E008.2 Documentation: External feedback integration,"- Collecting and implementing external feedback on AI systems. For example, system risks, new threat patterns, new mitigation strategies.","Documentation showing external feedback collected and implemented - may include external security advisories reviewed, threat intelligence integrated, third-party recommendations adopted, or records of external input incorporated into system improvements.",Prevent,Process,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,"Collecting and implementing external feedback helps identify emerging risks and improves system security, supporting supply chain resilience. Traceability is secondary.",OK,AmbiguousTop2; ASIAlignmentMismatch; ToolCueMismatch; AltPrimaryStrongerThanUntraceability,,
E009.1,E009,Accountability,Technical Implementation,E009.1 Config: Third-party access monitoring,"- Configuring logging for third-party interactions. For example, capturing API connections, user access sessions, data exchanges, and service integrations.
- Capturing access metadata. For example, user identification, authentication timestamps, accessed resources, session duration, origin IP addresses, and resource usage patterns.","Screenshot of logging system or SIEM configuration showing third-party interactions being monitored with captured metadata - may include cloud logging interface (Google Cloud Logging, AWS CloudWatch, Azure Monitor) showing logged API requests with timestamps/IPs/user agents, access logs capturing authentication events and resource access, or SIEM dashboard displaying third-party connection monitoring with relevant metadata fields.",Detect,Technical,Agent Untraceability,,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"Third-party access monitoring provides visibility into external interactions with AI systems, directly supporting traceability and supply chain visibility.",OK,AmbiguousTop2; ASIAlignmentMismatch; ToolCueMismatch,,
E010.1,E010,Accountability,Legal Policies,E010.1 Documentation: AI acceptable use policy,"- Defining prohibited AI usage for end-users. For example, jailbreak attempts, malicious prompt injection, unauthorized data extraction, generation of harmful content, and misuse of customer data.","Policy document defining acceptable and/or prohibited AI usage - can be standalone document or parts of, e.g., terms of service",Prevent,Policy,Agent Goal & Instruction Manipulation,,ASI01,Agent Goal Hijack,Y,High,"Detected cues: prompt injection, jailbreak. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Goal & Instruction Manipulation. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment.",P1,BridgeUsed; AmbiguousTop2,,
E010.2,E010,Accountability,Technical Implementation,E010.2 Config: AUP violation detection,"- Implementing detection and monitoring tools. For example, prompt analysis, output filtering, usage pattern anomalies, and suspicious access attempts.","Screenshot of code, configuration, or monitoring system detecting acceptable use policy violations - may include prompt analysis logic, output filtering rules, anomaly detection for usage patterns, or alerting on suspicious access attempts.",Prevent,Policy,Agent Untraceability,,,,N,Medium,Detected cues: tool. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
E010.3,E010,Accountability,Technical Implementation,E010.3 Demonstration: User notification for AUP breaches,"- Implementing user feedback when policy is breached. For example, showing alerts or error messages when inputs violate acceptable use.","Screenshot of user-facing alerts or error messages displayed when acceptable use policy is violated - may include in-product warning messages, blocked request notifications, or error screens explaining policy violations.",Prevent,Policy,Agent Untraceability,,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
E010.4,E010,Accountability,Technical Implementation,E010.4 Documentation: Guardrails enforcing acceptable use,"- Real-time monitoring, blocking, or alerting capabilities.
- Maintaining logging and tracking systems. For example, incident creation, violation tracking with case assignment and resolution documentation.
- Conducting regular effectiveness reviews. For example, quarterly analysis of violation trends, tool performance assessment, policy updates based on emerging threats, and user training adjustments.","Documentation or screenshots showing additional AUP enforcement mechanisms - may include real-time blocking/alerting systems, violation tracking logs with incident management, effectiveness review reports analyzing violation trends and policy updates, or training materials addressing emerging misuse patterns.",Detect,Policy,Agent Untraceability,,,,N,High,"Detected cues: tool, logging, rce. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
E011.1,E011,Accountability,Operational Practices,E011.1 Documentation: AI processing locations,"- Maintaining AI infrastructure location documentation. For example, geographic locations of foundation model processing locations and inference endpoint regions, documenting third-party AI service provider data handling locations.
- Reviewing and updating documentation regularly.","Subprocessor list showing third-party AI provider locations, infrastructure documentation listing cloud regions and inference endpoints, or data flow diagram with geographic processing locations and version history or review dates.",Detect,Process,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.,P1,AmbiguousTop2,,
E011.2,E011,Accountability,Legal Policies,E011.2 Documentation: Data transfer compliance,"- Implementing transfer compliance procedures. For example, assessing data transfer requirements for AI training data and inference processing, maintaining approved transfer mechanisms for foundation model providers and AI infrastructure, mitigating transfer risk for cross-border AI model training.","Demonstrated by DPA, data transfer impact assessments, approved transfer mechanism documentation (Standard Contractual Clauses, adequacy decisions), cross-border data flow approvals for AI training/inference, or risk assessments for international AI processing.",Prevent,Policy,Agent Untraceability,,,,N,Medium,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
E012.1,E012,Accountability,Legal Policies,E012.1 Documentation: Regulatory compliance reviews,"- Identifying relevant regulations. For example, data protection laws. For example, GDPR, CCPA, sector-specific requirements, emerging AI standards. For example, EU AI Act.
- Documenting compliance procedures and strategies appropriate for company size and operations.
- Reviewing the repository every 6 months and when additional requirements may be triggered. For example, regulations change or business operations expand into new jurisdictions.","Compliance register, assessment memo or review tickets (e.g. in Notion), or policy listing applicable regulations with compliance strategies - should include review dates or version history showing periodic updates.",Detect,Policy,Agent Untraceability,,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
E013.1,E013,Accountability,Operational Practices,E013.1 Documentation: Quality objectives and risk management,"- Defining quality objectives, metrics, and risk management approach for AI systems. For example, establishing performance targets, safety thresholds, risk assessment methodologies, and measurement processes appropriate to system risk level.","Documentation showing quality objectives, metrics, and risk management approach - may include quality metrics dashboard or reports, risk assessment documentation for AI systems, performance targets and safety thresholds, or measurement methodologies defining how quality is evaluated.",Detect,Process,Agent Untraceability,,,,N,Medium,"Detected cues: eval, quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,WeakSignals,,
E013.2,E013,Accountability,Operational Practices,E013.2 Documentation: Change management procedures,"- Establishing change management, approval processes, and documentation standards. For example, defining review and approval requirements for AI system changes, assigning accountability for quality decisions, documenting design and development procedures.","Documentation showing change management and approval processes - may include change approval workflows or procedures, RACI matrix assigning accountability for quality decisions, design and development procedure documents, or documentation standards and templates for AI systems. May be fulfilled by evidence submitted to E004: Assign accountability.",Detect,Process,Agent Untraceability,,,,N,Medium,"Detected cues: change management, approval, quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,WeakSignals,,
E013.3,E013,Accountability,Technical Implementation,E013.3 Config: Issue tracking and monitoring,"- Implementing defect tracking, continuous improvement, and post-market monitoring. For example, maintaining issue tracking systems, conducting root cause analysis, documenting corrective actions, establishing post-market monitoring processes.","Screenshot of issue tracking system or monitoring records - may include issue tracker (Jira, Linear, GitHub) with defects and corrective actions, root cause analysis reports, post-market monitoring logs or dashboards, or continuous improvement documentation showing lessons learned.",Prevent,Technical,Agent Untraceability,,,,N,High,"Detected cues: tool, quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
E013.4,E013,Accountability,Operational Practices,E013.4 Documentation: Data management procedures,"- Establishing data management and record-keeping systems. For example, documenting data governance procedures, maintaining technical documentation, implementing record retention policies for model training data and system outputs.","Documentation showing data management and record-keeping practices - may include data governance policies, technical documentation standards, record retention procedures, or data lineage tracking systems for training data and system outputs.",Prevent,Process,Agent Untraceability,,,,N,High,Detected cues: quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
E013.5,E013,Accountability,Operational Practices,E013.5 Documentation: Stakeholder communication procedures,"- Documenting communication procedures with regulatory authorities and stakeholders. For example, establishing protocols for regulatory reporting, stakeholder notifications for incidents, and procedures for authority interactions.","Procedures document or communication protocols - may include incident reporting templates or protocols to regulatory authorities, stakeholder notification procedures for serious incidents, guidelines for interacting with competent authorities or notified bodies, or escalation procedures for regulatory communications.",Prevent,Process,Agent Untraceability,,,,N,Medium,Detected cues: quality management. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
E014.1,E014,Accountability,,E014.1 Not applicable,"This requirement was merged into E017 at the Q1, 2026 standard update. See aiuc-1.com/changelog for more information",Not applicable,Prevent,Process,Agent Untraceability,,,,N,High,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
E015.1,E015,Accountability,Technical Implementation,E015.1 Config: Logging implementation,"- Capturing system activity details to support incident investigation and behavior explanation. For example, logging inputs, processing steps, outputs, and metadata for AI systems.","Screenshot of logging code or configuration showing what system activity is captured - may include code logging inputs and outputs, logging configuration file specifying what to log, or example log entries showing captured information (timestamps, inputs, outputs, user actions).",Detect,Technical,Agent Untraceability,,ASI10,Rogue Agents,N,Medium,"Detected cues: logging, audit. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
E015.2,E015,Accountability,Technical Implementation,E015.2 Config: Log storage,"- Implementing log storage with appropriate retention periods, access controls, and data sanitation to support auditing and incident response.","Screenshot of log storage system showing retention policies, access controls and sanitation practices - may include log management platform (Datadog, Splunk, CloudWatch) with retention period settings and PII-masking, access control configuration showing who can view logs, or storage settings with automatic deletion rules.",Respond,Technical,Agent Untraceability,,ASI10,Rogue Agents,N,Medium,"Detected cues: rag, tool, audit, pii. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P1,AmbiguousTop2; AltPrimaryStrongerThanUntraceability,,
E015.3,E015,Accountability,Technical Implementation,E015.3 Config: Log integrity protection,"- Implementing technical controls to ensure logs are tamper-evident and independently verifiable. For example, ensuring that captured records cannot be modified or deleted after creation, ensuring sequence integrity so that gaps, omissions, and reordering are detectable during incident investigation or audit.","Screenshot or documentation of log immutability controls - for example, write-once-read-many (WORM) storage configuration, cryptographic hashing of log entries, append-only database settings, or third-party log management platform features.",Detect,Technical,Agent Untraceability,,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"Log integrity protection ensures audit trails cannot be tampered with, directly supporting traceability and forensic investigation.",OK,ASIAlignmentMismatch,,
E016.1,E016,Accountability,Technical Implementation,E016.1 Demonstration: Text AI disclosure,"- Implementing AI disclosure for text-based interactions. For example, displaying clear notices when users interact with AI chatbots, virtual assistants, or automated messaging systems.","Screenshot of text-based AI disclosure - may include chatbot interface with ""You're chatting with AI"" notice, messaging system showing AI agent identifier, website chat widget with AI disclosure banner, or automated email/SMS with AI generation notice.",Prevent,Technical,Agent Untraceability,,,,N,Medium,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
E016.2,E016,Accountability,Technical Implementation,E016.2 Demonstration: Voice AI disclosure,"- Implementing AI disclosure for voice-based interactions. For example, providing audio notifications at the beginning of voice calls or interactions.",Screenshot of transcript or audio recording of voice AI disclosure.,Prevent,Technical,Agent Untraceability,Agent Identity Impersonation,,,N,Medium,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Identity Impersonation.,P2,WeakSignals,,
E016.3,E016,Accountability,Technical Implementation,E016.3 Demonstration: Labelling AI-generated content,"- Labelling AI-generated media and documents in a machine-readable and detectable format. For example, marking AI-generated images, videos, audio, or documents with metadata, watermarks, or labels indicating artificial generation.","Screenshot showing AI generation labeling implementation - may include Content Credentials or C2PA metadata embedded in files, visible watermarking system with AI generation marks, classifier output detecting and flagging AI-generated content, or metadata tagging system marking files as artificially generated.",Prevent,Technical,Agent Untraceability,,,,N,Medium,"Detected cues: credential, disclosure, label. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,WeakSignals,,
E016.4,E016,Accountability,Technical Implementation,E016.4 Demonstration: Automation AI disclosure,"- Disclosing when autonomous AI agents or automated workflows are performing actions. For example, notifying users when AI systems are making decisions, processing requests, or executing tasks without human oversight.","Screenshot showing AI automation disclosure in product - may include ""Powered by AI"" or ""AI Agent"" labels in interface, workflow dashboard displaying AI-automated tasks, status indicators showing ""AI is handling this"" or ""Automated by AI,"" or notification messages stating ""AI agent completed your request.""",Prevent,Technical,Agent Untraceability,,ASI09,Human-Agent Trust Exploitation,N,Medium,"Detected cues: disclosure, label. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,WeakSignals,,
